word,frequency,first-appearance,last-appearance
downstairs,1,1.01,1.01
Let’s,1,1.01,1.01
question,1,1.01,1.01
Aside,1,1.01,1.01
curtain…rag,1,1.01,1.01
raised,1,1.01,1.01
stumble,1,1.01,1.01
hacking,1,1.01,1.01
actual,1,1.01,1.01
task,1,1.01,1.01
fact,1,1.01,1.01
Mainly,1,1.01,1.01
push,1,1.01,1.01
side,1,1.01,1.01
rough,1,1.01,1.01
pass,1,1.01,1.01
while,1,1.01,1.01
turn,1,1.01,1.01
filled,1,1.01,1.01
again,1,1.01,1.01
rhythm,1,1.01,1.01
sense,1,1.01,1.01
top,1,1.01,1.01
high-quality,1,1.01,1.01
admired,1,1.01,1.01
faint,1,1.01,1.01
rich,1,1.01,1.01
after,1,1.01,1.01
removing,1,1.01,1.01
accommodate,1,1.01,1.01
twenty,1,1.01,1.01
time…or,1,1.01,1.01
fifteen,1,1.01,1.01
picky,1,1.01,1.01
elbow,1,1.01,1.01
done,1,1.01,1.01
barkeep’s,1,1.01,1.01
shelf,1,1.01,1.01
below,1,1.01,1.01
When,1,1.01,1.01
warmer,1,1.01,1.01
newly-clean,1,1.01,1.01
fading,1,1.01,1.01
Namely,1,1.01,1.01
natural,1,1.01,1.01
mop,1,1.01,1.01
pushing,1,1.01,1.01
As,1,1.01,1.01
such,1,1.01,1.01
piles,1,1.01,1.01
clumped,1,1.01,1.01
together,1,1.01,1.01
everywhere,1,1.01,1.01
kicked,1,1.01,1.01
pile,1,1.01,1.01
shrugged,1,1.01,1.01
compare,1,1.01,1.01
chairs…,1,1.01,1.01
results,1,1.01,1.01
your,1,1.01,1.01
dinner,1,1.01,1.01
cared,1,1.01,1.01
floors,1,1.01,1.01
Floors,1,1.01,1.01
sleeping,1,1.01,1.01
wiped,1,1.01,1.01
sweat,1,1.01,1.01
And—was,1,1.01,1.01
nightfall,1,1.01,1.01
sometime,1,1.01,1.01
efforts,1,1.01,1.01
ceased,1,1.01,1.01
visible,1,1.01,1.01
decreased,1,1.01,1.01
nearly,1,1.01,1.01
pitch,1,1.01,1.01
mass,1,1.01,1.01
scary,1,1.01,1.01
Great,1,1.01,1.01
reassuring,1,1.01,1.01
spotting,1,1.01,1.01
moonlight,1,1.01,1.01
smooth,1,1.01,1.01
tabletops,1,1.01,1.01
